i,j,rank,omim_name,omim_count,omim_terms,orpha_name,orpha_count,orpha_terms,commun,cost_true,cost_pred,terms_pred
413,138,28,hypertryptophanemia,23,HP:0000007|HP:0000316|HP:0000407|HP:0000486|HP:0000505|HP:0000545|HP:0000712|HP:0000716|HP:0000718|HP:0001181|HP:0001249|HP:0001263|HP:0001377|HP:0001763|HP:0002342|HP:0002761|HP:0003144|HP:0003361|HP:0003623|HP:0025268|HP:0100490|HP:0500134|HP:5200321,hypertryptophanemia,3,HP:0003144|HP:0003361|HP:0500134,HP:0003361|HP:0003144|HP:0500134,6.430971008506539,5.150958298008321,"['HP:0000083', 'HP:0000407', 'HP:0000486', 'HP:0000496', 'HP:0000822', 'HP:0001249', 'HP:0001251', 'HP:0001252', 'HP:0001638', 'HP:0001679', 'HP:0002149', 'HP:0002167', 'HP:0011675']"
110,337,118,paroxysmal extreme pain disorder,11,HP:0000006|HP:0000632|HP:0001649|HP:0001662|HP:0003623|HP:0007328|HP:0031284|HP:0031417|HP:0200025|HP:0200026|HP:0500005,paroxysmal extreme pain disorder,2,HP:0001250|HP:0002019,,7.073329271760517,6.020751640023516,"['HP:0000183', 'HP:0000716', 'HP:0000740', 'HP:0001293', 'HP:0002465', 'HP:0002664', 'HP:0003401', 'HP:0003474', 'HP:0004948', 'HP:0007305', 'HP:0011096', 'HP:0011968', 'HP:0012199', 'HP:0012533', 'HP:0100661', 'HP:0200025', 'HP:0200026']"
393,491,160,christianson syndrome,13,HP:0000431|HP:0001249|HP:0001417|HP:0001952|HP:0002023|HP:0002650|HP:0002652|HP:0002949|HP:0004322|HP:0005487|HP:0005819|HP:0006897|HP:0008467,christianson syndrome,49,HP:0000194|HP:0000252|HP:0000275|HP:0000276|HP:0000400|HP:0000486|HP:0000490|HP:0000574|HP:0000602|HP:0000639|HP:0000717|HP:0000733|HP:0000748|HP:0000765|HP:0000767|HP:0000939|HP:0001181|HP:0001250|HP:0001272|HP:0001344|HP:0001382|HP:0001508|HP:0002015|HP:0002019|HP:0002020|HP:0002066|HP:0002078|HP:0002119|HP:0002120|HP:0002187|HP:0002194|HP:0002197|HP:0002300|HP:0002307|HP:0002353|HP:0002360|HP:0002376|HP:0002487|HP:0002529|HP:0002650|HP:0003199|HP:0004326|HP:0005484|HP:0007370|HP:0008872|HP:0011344|HP:0011968|HP:0100024|HP:0200134,HP:0002650,6.551286244742396,4.967236684217695,"['HP:0000175', 'HP:0000252', 'HP:0000340', 'HP:0000365', 'HP:0000411', 'HP:0000426', 'HP:0000767', 'HP:0001249', 'HP:0002650', 'HP:0004322', 'HP:0008734', 'HP:0100335']"
439,140,4,neuronal intranuclear inclusion disease,26,HP:0000006|HP:0000020|HP:0000616|HP:0000708|HP:0000726|HP:0001250|HP:0001251|HP:0001260|HP:0001265|HP:0001279|HP:0001288|HP:0001324|HP:0001337|HP:0002063|HP:0002119|HP:0002352|HP:0002572|HP:0002922|HP:0003403|HP:0003431|HP:0003448|HP:0003474|HP:0007185|HP:0012229|HP:0020068|HP:0100543,neuronal intranuclear inclusion disease,18,HP:0000600|HP:0000602|HP:0000639|HP:0000648|HP:0000708|HP:0000726|HP:0001250|HP:0001251|HP:0001260|HP:0001276|HP:0001347|HP:0002167|HP:0002353|HP:0002650|HP:0003298|HP:0003312|HP:0003457|HP:0100022,HP:0000726|HP:0000708|HP:0001260|HP:0001250|HP:0001251,4.558472356309432,4.450971935918952,"['HP:0000597', 'HP:0000639', 'HP:0000643', 'HP:0000726', 'HP:0001138', 'HP:0001152', 'HP:0001250', 'HP:0001251', 'HP:0001260', 'HP:0001265', 'HP:0001266', 'HP:0001310', 'HP:0001336', 'HP:0002066', 'HP:0002070', 'HP:0002073', 'HP:0002075', 'HP:0002078', 'HP:0002345', 'HP:0002354', 'HP:0004305', 'HP:0010831', 'HP:0010867', 'HP:0012048', 'HP:0030890', 'HP:0100543']"
310,236,8,pyknoachondrogenesis,3,HP:0000007|HP:0003826|HP:0011001,pyknoachondrogenesis,23,HP:0000369|HP:0000457|HP:0000465|HP:0000773|HP:0000888|HP:0002694|HP:0002983|HP:0003026|HP:0003175|HP:0003270|HP:0004493|HP:0008817|HP:0010306|HP:0011338|HP:0011867|HP:0012790|HP:0030290|HP:0040194|HP:0100540|HP:0100625|HP:0100748|HP:0100856|HP:0100866,,6.3929548417271045,5.166373013401712,"['HP:0001939', 'HP:0002650', 'HP:0002808', 'HP:0003103', 'HP:0003312', 'HP:0011001', 'HP:0100861']"
313,238,10,pyruvate carboxylase deficiency,19,HP:0000007|HP:0001249|HP:0001250|HP:0001252|HP:0001263|HP:0001943|HP:0002049|HP:0002151|HP:0002169|HP:0002240|HP:0002305|HP:0002415|HP:0003128|HP:0003348|HP:0003542|HP:0003577|HP:0003593|HP:0006970|HP:0007190,pyruvate carboxylase deficiency,70,HP:0000639|HP:0000722|HP:0000741|HP:0000817|HP:0001249|HP:0001250|HP:0001251|HP:0001252|HP:0001259|HP:0001262|HP:0001274|HP:0001290|HP:0001332|HP:0001337|HP:0001508|HP:0001510|HP:0001942|HP:0001943|HP:0001944|HP:0001987|HP:0002013|HP:0002039|HP:0002119|HP:0002151|HP:0002161|HP:0002240|HP:0002416|HP:0002465|HP:0002490|HP:0002789|HP:0002793|HP:0003074|HP:0003128|HP:0003228|HP:0003265|HP:0003348|HP:0003429|HP:0003542|HP:0003648|HP:0006999|HP:0007109|HP:0007256|HP:0008358|HP:0011169|HP:0011966|HP:0012448|HP:0012469|HP:0012644|HP:0012698|HP:0012706|HP:0012707|HP:0012708|HP:0012758|HP:0012762|HP:0025160|HP:0025336|HP:0030051|HP:0030890|HP:0032653|HP:0100023|HP:0100660|HP:0410175|HP:0500147|HP:0500149|HP:0500181|HP:0500198|HP:0500200|HP:0500231|HP:0500233|HP:0500246,HP:0003542|HP:0001249|HP:0003128|HP:0001250|HP:0003348|HP:0001252|HP:0002151|HP:0002240|HP:0001943,5.545084219417065,5.179227851025192,"['HP:0000733', 'HP:0000958', 'HP:0001249', 'HP:0001259', 'HP:0001263', 'HP:0001276', 'HP:0001298', 'HP:0001649', 'HP:0001942', 'HP:0001947', 'HP:0002315', 'HP:0002448', 'HP:0002615', 'HP:0004365', 'HP:0005957', 'HP:0008527', 'HP:0010280']"
8,536,21,acrorenal syndrome,3,HP:0000006|HP:0009380|HP:0012210,acrorenal syndrome,11,HP:0000083|HP:0000175|HP:0000347|HP:0000478|HP:0000504|HP:0001171|HP:0002992|HP:0006501|HP:0008678|HP:0012210|HP:0040071,HP:0012210,5.936630823153321,6.786364464952733,"['HP:0000105', 'HP:0000964', 'HP:0000988', 'HP:0001097', 'HP:0001217', 'HP:0001370', 'HP:0001508', 'HP:0001824', 'HP:0001945', 'HP:0002091', 'HP:0002094', 'HP:0002110', 'HP:0002206', 'HP:0002240', 'HP:0002721', 'HP:0002960', 'HP:0003549', 'HP:0005948', 'HP:0011947', 'HP:0012378', 'HP:0012418', 'HP:0012735', 'HP:0025178', 'HP:0025179', 'HP:0025180', 'HP:0030057', 'HP:0030828', 'HP:0030830', 'HP:0030880', 'HP:0030950', 'HP:0031691', 'HP:0032177', 'HP:0045051', 'HP:0100721']"
362,493,31,"x linked intellectual disability, shrimpton type",1,HP:0001249,"x linked intellectual disability, shrimpton type",5,HP:0000252|HP:0000348|HP:0000486|HP:0004322|HP:0010864,,6.1302476476778285,5.299916040844712,"['HP:0000962', 'HP:0001072', 'HP:0001249', 'HP:0001315', 'HP:0001347', 'HP:0012639']"
20,379,9,burkitt lymphoma,4,HP:0001442|HP:0002721|HP:0003745|HP:0030080,burkitt lymphoma,14,HP:0000137|HP:0001392|HP:0001732|HP:0001743|HP:0002017|HP:0002027|HP:0002149|HP:0002239|HP:0002733|HP:0005214|HP:0005561|HP:0025435|HP:0032218|HP:0100649,,6.959014082258895,7.413519950568743,"['HP:0000105', 'HP:0000964', 'HP:0000988', 'HP:0001097', 'HP:0001217', 'HP:0001370', 'HP:0001508', 'HP:0001824', 'HP:0001945', 'HP:0002091', 'HP:0002094', 'HP:0002110', 'HP:0002206', 'HP:0002240', 'HP:0002721', 'HP:0002960', 'HP:0003549', 'HP:0005948', 'HP:0011947', 'HP:0012378', 'HP:0012418', 'HP:0012735', 'HP:0025178', 'HP:0025179', 'HP:0025180', 'HP:0030057', 'HP:0030828', 'HP:0030830', 'HP:0030880', 'HP:0030950', 'HP:0031691', 'HP:0032177', 'HP:0045051', 'HP:0100721']"
373,8,19,barth syndrome,39,HP:0000293|HP:0000303|HP:0000307|HP:0000311|HP:0000337|HP:0000348|HP:0000400|HP:0000490|HP:0001263|HP:0001270|HP:0001288|HP:0001419|HP:0001508|HP:0001510|HP:0001635|HP:0001639|HP:0001644|HP:0001706|HP:0001762|HP:0001875|HP:0001913|HP:0002058|HP:0002286|HP:0002837|HP:0003391|HP:0003535|HP:0003546|HP:0003593|HP:0003756|HP:0004840|HP:0004913|HP:0005180|HP:0005437|HP:0008322|HP:0011675|HP:0012378|HP:0033755|HP:0040289|HP:6000517,barth syndrome,4,HP:0001644|HP:0001706|HP:0001874|HP:0008322,HP:0008322|HP:0001706|HP:0001644,6.513379607910592,5.740850378082746,"['HP:0000100', 'HP:0000124', 'HP:0000348', 'HP:0000400', 'HP:0000407', 'HP:0000508', 'HP:0000518', 'HP:0000587', 'HP:0000602', 'HP:0000639', 'HP:0000648', 'HP:0000924', 'HP:0000964', 'HP:0000998', 'HP:0001250', 'HP:0001251', 'HP:0001257', 'HP:0001263', 'HP:0001264', 'HP:0001266', 'HP:0001272', 'HP:0001274', 'HP:0001324', 'HP:0001332', 'HP:0001399', 'HP:0001508', 'HP:0001510', 'HP:0001511', 'HP:0001596', 'HP:0001629', 'HP:0001635', 'HP:0001639', 'HP:0001875', 'HP:0001903', 'HP:0001943', 'HP:0001947', 'HP:0001993', 'HP:0001999', 'HP:0002015', 'HP:0002071', 'HP:0002072', 'HP:0002079', 'HP:0002133', 'HP:0002151', 'HP:0002171', 'HP:0002305', 'HP:0002344', 'HP:0002376', 'HP:0002415', 'HP:0002460', 'HP:0002487', 'HP:0002490', 'HP:0002493', 'HP:0002521', 'HP:0002542', 'HP:0002579', 'HP:0002793', 'HP:0002828', 'HP:0002878', 'HP:0002909', 'HP:0002928', 'HP:0003128', 'HP:0003198', 'HP:0003202', 'HP:0003219', 'HP:0003348', 'HP:0003390', 'HP:0003535', 'HP:0003648', 'HP:0004305', 'HP:0006943', 'HP:0007183', 'HP:0008314', 'HP:0008336', 'HP:0008347', 'HP:0008947', 'HP:0008972', 'HP:0009830', 'HP:0011335', 'HP:0011923', 'HP:0011924', 'HP:0011968', 'HP:0012120', 'HP:0012379', 'HP:0012469', 'HP:0012696', 'HP:0012707', 'HP:0012747', 'HP:0012748', 'HP:0012751', 'HP:0031691', 'HP:0040197', 'HP:0100022', 'HP:0100321', 'HP:0100660', 'HP:0200147', 'HP:0410145', 'HP:0410263']"
