i,j,rank,omim_name,omim_count,omim_terms,orpha_name,orpha_count,orpha_terms,commun,cost_true,cost_pred,terms_pred
143,44,41,tarsal carpal coalition syndrome,16,HP:0000002|HP:0000006|HP:0000364|HP:0001156|HP:0001204|HP:0002967|HP:0003041|HP:0003577|HP:0006147|HP:0006152|HP:0008368|HP:0009381|HP:0009466|HP:0009702|HP:0010034|HP:0030084,tarsal carpal coalition syndrome,3,HP:0003028|HP:0004322|HP:0008368,HP:0008368,6.094903474446378,4.771144395461338,"['HP:0000772', 'HP:0001883', 'HP:0002967', 'HP:0002991', 'HP:0003027', 'HP:0003028', 'HP:0003422', 'HP:0004209', 'HP:0004322', 'HP:0005009', 'HP:0005048', 'HP:0008368', 'HP:0009465', 'HP:0031095', 'HP:0100490']"
528,142,8,congenital short bowel syndrome,17,HP:0000007|HP:0001508|HP:0001942|HP:0001944|HP:0001984|HP:0002013|HP:0002028|HP:0002566|HP:0002570|HP:0002587|HP:0003270|HP:0003577|HP:0003593|HP:0011100|HP:0030889|HP:0030897|HP:0030914,congenital short bowel syndrome,7,HP:0002566|HP:0004322|HP:0005245|HP:0008070|HP:0100543|HP:0100578|HP:0100627,HP:0002566,6.26866862456493,4.97070988945903,"['HP:0001508', 'HP:0001561', 'HP:0001622', 'HP:0001732', 'HP:0001734', 'HP:0001824', 'HP:0001944', 'HP:0002013', 'HP:0002247', 'HP:0002587', 'HP:0003270', 'HP:0004414', 'HP:0004909', 'HP:0025656', 'HP:0030145', 'HP:0034754']"
212,13,142,duodenal atresia,2,HP:0000007|HP:0002247,duodenal atresia,16,HP:0001508|HP:0001561|HP:0001622|HP:0001732|HP:0001734|HP:0001824|HP:0001944|HP:0002013|HP:0002247|HP:0002587|HP:0003270|HP:0004414|HP:0004909|HP:0025656|HP:0030145|HP:0034754,HP:0002247,7.5001796841705985,6.908983354222849,"['HP:0002566', 'HP:0004322', 'HP:0005245', 'HP:0008070', 'HP:0100543', 'HP:0100578', 'HP:0100627']"
409,158,6,lowry maclean syndrome,13,HP:0000006|HP:0000175|HP:0000252|HP:0000444|HP:0000501|HP:0000684|HP:0001249|HP:0001263|HP:0001363|HP:0001511|HP:0001627|HP:0004467|HP:0009110,lowry maclean syndrome,52,HP:0000023|HP:0000047|HP:0000078|HP:0000175|HP:0000237|HP:0000238|HP:0000243|HP:0000252|HP:0000278|HP:0000327|HP:0000347|HP:0000348|HP:0000369|HP:0000444|HP:0000453|HP:0000485|HP:0000494|HP:0000520|HP:0000572|HP:0000577|HP:0000592|HP:0000680|HP:0000776|HP:0000938|HP:0000939|HP:0000954|HP:0001087|HP:0001250|HP:0001269|HP:0001363|HP:0001510|HP:0001511|HP:0001680|HP:0002012|HP:0002021|HP:0002705|HP:0002714|HP:0003194|HP:0003196|HP:0004439|HP:0004554|HP:0005211|HP:0005442|HP:0006695|HP:0007370|HP:0007957|HP:0008689|HP:0011087|HP:0011344|HP:0025247|HP:0030680|HP:0100538,HP:0001363|HP:0001511|HP:0000444|HP:0000175|HP:0000252,5.249457767135176,4.949756385923576,"['HP:0000486', 'HP:0000501', 'HP:0000518', 'HP:0000545', 'HP:0000612', 'HP:0000708', 'HP:0000750', 'HP:0000752', 'HP:0000957', 'HP:0001249', 'HP:0001250', 'HP:0001252', 'HP:0001270', 'HP:0001273', 'HP:0001511', 'HP:0002650', 'HP:0002719', 'HP:0005484', 'HP:0007703', 'HP:0008897', 'HP:0025373']"
245,455,110,hydroxykynureninuria,6,HP:0000007|HP:0000952|HP:0002013|HP:0003623|HP:6000121|HP:6000265,hydroxykynureninuria,17,HP:0000733|HP:0000958|HP:0001249|HP:0001259|HP:0001263|HP:0001276|HP:0001298|HP:0001649|HP:0001942|HP:0001947|HP:0002315|HP:0002448|HP:0002615|HP:0004365|HP:0005957|HP:0008527|HP:0010280,,7.1955784088544315,6.216234923098034,"['HP:0000137', 'HP:0001392', 'HP:0001732', 'HP:0001743', 'HP:0002017', 'HP:0002027', 'HP:0002149', 'HP:0002239', 'HP:0002733', 'HP:0005214', 'HP:0005561', 'HP:0025435', 'HP:0032218', 'HP:0100649']"
421,406,5,neurofibromatosis noonan syndrome,38,HP:0000006|HP:0000028|HP:0000256|HP:0000272|HP:0000286|HP:0000316|HP:0000358|HP:0000369|HP:0000465|HP:0000470|HP:0000494|HP:0000508|HP:0000750|HP:0000767|HP:0000915|HP:0000917|HP:0000997|HP:0001067|HP:0001249|HP:0001263|HP:0001324|HP:0001328|HP:0001642|HP:0001684|HP:0002162|HP:0002650|HP:0002967|HP:0003006|HP:0004322|HP:0005272|HP:0005280|HP:0007565|HP:0009732|HP:0009734|HP:0009737|HP:0011800|HP:0012471|HP:0030052,neurofibromatosis noonan syndrome,18,HP:0000028|HP:0000271|HP:0000316|HP:0000358|HP:0000465|HP:0000494|HP:0000508|HP:0000765|HP:0001328|HP:0001639|HP:0001642|HP:0002015|HP:0003010|HP:0004322|HP:0007565|HP:0009023|HP:0011039|HP:0100763,HP:0000316|HP:0000465|HP:0001642|HP:0000358|HP:0000028|HP:0007565|HP:0000508|HP:0004322|HP:0001328|HP:0000494,4.32556082977052,4.4908498006589355,"['HP:0000256', 'HP:0000365', 'HP:0000518', 'HP:0000708', 'HP:0000736', 'HP:0000750', 'HP:0000752', 'HP:0000766', 'HP:0000787', 'HP:0000997', 'HP:0001012', 'HP:0001067', 'HP:0001114', 'HP:0001250', 'HP:0001252', 'HP:0001270', 'HP:0001328', 'HP:0001332', 'HP:0001634', 'HP:0001642', 'HP:0002650', 'HP:0002667', 'HP:0004209', 'HP:0004322', 'HP:0004845', 'HP:0006671', 'HP:0007018', 'HP:0007099', 'HP:0007565', 'HP:0009588', 'HP:0009734', 'HP:0009737', 'HP:0010442', 'HP:0030052', 'HP:0030358', 'HP:0032077', 'HP:0100006', 'HP:0100245', 'HP:0100252', 'HP:0100543', 'HP:0100615', 'HP:0410263']"
360,269,6,phosphoribosylpyrophosphate synthetase superactivity,41,HP:0000028|HP:0000047|HP:0000083|HP:0000154|HP:0000218|HP:0000286|HP:0000325|HP:0000365|HP:0000369|HP:0000407|HP:0000444|HP:0000486|HP:0000494|HP:0000501|HP:0000508|HP:0000540|HP:0000545|HP:0000601|HP:0000791|HP:0001249|HP:0001251|HP:0001252|HP:0001263|HP:0001270|HP:0001419|HP:0001518|HP:0001997|HP:0002149|HP:0002719|HP:0003149|HP:0003196|HP:0003240|HP:0003477|HP:0003577|HP:0003819|HP:0004322|HP:0005280|HP:0008070|HP:0009830|HP:0011220|HP:0034368,phosphoribosylpyrophosphate synthetase superactivity,13,HP:0000083|HP:0000407|HP:0000486|HP:0000496|HP:0000822|HP:0001249|HP:0001251|HP:0001252|HP:0001638|HP:0001679|HP:0002149|HP:0002167|HP:0011675,HP:0001249|HP:0000486|HP:0001252|HP:0000083|HP:0001251|HP:0000407|HP:0002149,5.055413166361758,4.647342208338636,"['HP:0000215', 'HP:0000219', 'HP:0000232', 'HP:0000280', 'HP:0000316', 'HP:0000343', 'HP:0000463', 'HP:0000470', 'HP:0000486', 'HP:0000506', 'HP:0000508', 'HP:0000582', 'HP:0000684', 'HP:0000966', 'HP:0001252', 'HP:0001315', 'HP:0001382', 'HP:0002007', 'HP:0002023', 'HP:0002714', 'HP:0002750', 'HP:0003196', 'HP:0004322', 'HP:0004326', 'HP:0008070', 'HP:0010864', 'HP:0011220', 'HP:0045075', 'HP:0100736']"
541,48,7,ring chromosome 14 syndrome,28,HP:0000218|HP:0000252|HP:0000268|HP:0000286|HP:0000316|HP:0000369|HP:0000457|HP:0000463|HP:0000470|HP:0000494|HP:0000580|HP:0000581|HP:0000750|HP:0001249|HP:0001252|HP:0001263|HP:0001290|HP:0001510|HP:0002133|HP:0002197|HP:0002384|HP:0002465|HP:0003593|HP:0003745|HP:0005280|HP:0005469|HP:0007359|HP:0007874,ring chromosome 14 syndrome,21,HP:0000486|HP:0000501|HP:0000518|HP:0000545|HP:0000612|HP:0000708|HP:0000750|HP:0000752|HP:0000957|HP:0001249|HP:0001250|HP:0001252|HP:0001270|HP:0001273|HP:0001511|HP:0002650|HP:0002719|HP:0005484|HP:0007703|HP:0008897|HP:0025373,HP:0001252|HP:0000750|HP:0001249,4.840262172988789,5.4036139400269825,"['HP:0000218', 'HP:0000252', 'HP:0000303', 'HP:0000322', 'HP:0000385', 'HP:0000387', 'HP:0000574', 'HP:0000689', 'HP:0001162', 'HP:0001212', 'HP:0001344', 'HP:0001511', 'HP:0001812', 'HP:0001830', 'HP:0001831', 'HP:0002069', 'HP:0002187', 'HP:0002465', 'HP:0002558', 'HP:0002650', 'HP:0002987', 'HP:0004209', 'HP:0006380', 'HP:0010554', 'HP:0100490']"
355,294,36,danon disease,34,HP:0000505|HP:0001249|HP:0001263|HP:0001279|HP:0001324|HP:0001423|HP:0001635|HP:0001639|HP:0001640|HP:0001644|HP:0001678|HP:0001685|HP:0001692|HP:0001700|HP:0001716|HP:0001761|HP:0002375|HP:0002460|HP:0003236|HP:0003458|HP:0003546|HP:0003621|HP:0003690|HP:0003700|HP:0003701|HP:0003710|HP:0004756|HP:0007210|HP:0011463|HP:0011706|HP:0012666|HP:0025075|HP:0025717|HP:0100543,danon disease,6,HP:0001249|HP:0001288|HP:0001639|HP:0001644|HP:0006543|HP:0010547,HP:0001639|HP:0001249|HP:0001644,6.446872558973624,5.85825182866816,"['HP:0000486', 'HP:0000496', 'HP:0000508', 'HP:0000657', 'HP:0001256', 'HP:0001263', 'HP:0001376', 'HP:0002167', 'HP:0002650', 'HP:0002808', 'HP:0003693', 'HP:0004209', 'HP:0005745', 'HP:0100022']"
94,271,31,cardiospondylocarpofacial syndrome,56,HP:0000006|HP:0000076|HP:0000085|HP:0000154|HP:0000286|HP:0000293|HP:0000316|HP:0000343|HP:0000358|HP:0000369|HP:0000403|HP:0000405|HP:0000414|HP:0000431|HP:0000463|HP:0000486|HP:0000506|HP:0000508|HP:0000582|HP:0000592|HP:0000629|HP:0000776|HP:0000902|HP:0000977|HP:0001156|HP:0001252|HP:0001382|HP:0001508|HP:0001558|HP:0001629|HP:0001631|HP:0001653|HP:0001655|HP:0001773|HP:0002020|HP:0002578|HP:0002650|HP:0002750|HP:0002949|HP:0003577|HP:0004322|HP:0005278|HP:0005473|HP:0008368|HP:0008441|HP:0008527|HP:0008734|HP:0009702|HP:0010579|HP:0010584|HP:0011387|HP:0011461|HP:0011623|HP:0011968|HP:0012304|HP:0030732,cardiospondylocarpofacial syndrome,11,HP:0000405|HP:0000692|HP:0001156|HP:0001634|HP:0001653|HP:0002705|HP:0003312|HP:0003510|HP:0004279|HP:0005048|HP:0006352,HP:0001653|HP:0000405|HP:0001156,6.073721724792323,4.818856245159785,"['HP:0000014', 'HP:0000036', 'HP:0000039', 'HP:0000047', 'HP:0000069', 'HP:0000256', 'HP:0000286', 'HP:0000365', 'HP:0000463', 'HP:0000486', 'HP:0000502', 'HP:0000506', 'HP:0000520', 'HP:0000581', 'HP:0000598', 'HP:0000625', 'HP:0001140', 'HP:0001156', 'HP:0001252', 'HP:0001274', 'HP:0001331', 'HP:0001508', 'HP:0001510', 'HP:0001561', 'HP:0001626', 'HP:0001999', 'HP:0002251', 'HP:0003196', 'HP:0004279', 'HP:0007440', 'HP:0008065', 'HP:0008749', 'HP:0011968', 'HP:0012639', 'HP:0012745', 'HP:0030680']"
346,245,130,"intellectual disability, wolff type",1,HP:0001249,"intellectual disability, wolff type",29,HP:0000023|HP:0000028|HP:0000047|HP:0000179|HP:0000202|HP:0000308|HP:0000316|HP:0000340|HP:0000400|HP:0000414|HP:0000431|HP:0000486|HP:0000582|HP:0001176|HP:0001250|HP:0001376|HP:0001597|HP:0002162|HP:0002242|HP:0002650|HP:0002750|HP:0004209|HP:0008559|HP:0009882|HP:0010864|HP:0011304|HP:0011344|HP:0100335|HP:0100490,,7.458199743672729,5.299916040844712,"['HP:0000962', 'HP:0001072', 'HP:0001249', 'HP:0001315', 'HP:0001347', 'HP:0012639']"
323,252,85,sarcosinemia,2,HP:0000007|HP:0010896,sarcosinemia,22,HP:0000486|HP:0000648|HP:0000712|HP:0001251|HP:0001256|HP:0001263|HP:0001270|HP:0001639|HP:0001642|HP:0002069|HP:0002273|HP:0002360|HP:0002371|HP:0002465|HP:0007875|HP:0008610|HP:0008947|HP:0010522|HP:0010896|HP:0010897|HP:0011727|HP:0100022,HP:0010896,6.863090463189718,6.805940538944505,"['HP:0001644', 'HP:0001706', 'HP:0001874', 'HP:0008322']"
17,20,9,boomerang dysplasia,9,HP:0000006|HP:0000430|HP:0000431|HP:0002990|HP:0003510|HP:0003811|HP:0003974|HP:0005104|HP:0008824,boomerang dysplasia,21,HP:0000028|HP:0000774|HP:0000824|HP:0001539|HP:0001561|HP:0001789|HP:0002818|HP:0002823|HP:0002983|HP:0002992|HP:0005916|HP:0006101|HP:0006492|HP:0006703|HP:0008890|HP:0010318|HP:0011849|HP:0031095|HP:0040071|HP:0100569|HP:0100856,,6.195756070190903,5.604901031653189,"['HP:0000174', 'HP:0000316', 'HP:0000426', 'HP:0000431', 'HP:0000478', 'HP:0000504', 'HP:0001671', 'HP:0003196', 'HP:0004322', 'HP:0004502', 'HP:0012745']"
269,365,6,maple syrup urine disease,24,HP:0000007|HP:0000738|HP:0001249|HP:0001250|HP:0001251|HP:0001252|HP:0001254|HP:0001259|HP:0001276|HP:0001290|HP:0001507|HP:0001733|HP:0001943|HP:0001946|HP:0002013|HP:0002181|HP:0003128|HP:0008344|HP:0008872|HP:0031796|HP:0033155|HP:0410066|HP:4000207|HP:6000124,maple syrup urine disease,11,HP:0000600|HP:0001249|HP:0001250|HP:0001251|HP:0001252|HP:0001263|HP:0001315|HP:0001608|HP:0002093|HP:0004374|HP:0008344,HP:0001249|HP:0001250|HP:0001252|HP:0008344|HP:0001251,4.842735970882249,4.571512371825222,"['HP:0000750', 'HP:0001249', 'HP:0001250', 'HP:0001252', 'HP:0001254', 'HP:0001259', 'HP:0001263', 'HP:0001270', 'HP:0001289', 'HP:0001310', 'HP:0001337', 'HP:0001508', 'HP:0001735', 'HP:0001824', 'HP:0001942', 'HP:0001987', 'HP:0001994', 'HP:0002013', 'HP:0002045', 'HP:0002453', 'HP:0002901', 'HP:0002919', 'HP:0003128', 'HP:0007018', 'HP:0008872', 'HP:0011675', 'HP:0031962', 'HP:0033111', 'HP:0033447']"
456,488,8,acropectoral syndrome,7,HP:0000006|HP:0000767|HP:0000768|HP:0001199|HP:0002342|HP:0009944|HP:0100258,acropectoral syndrome,3,HP:0000765|HP:0001177|HP:0006101,,5.331500108770046,6.237464502657358,"['HP:0000023', 'HP:0000028', 'HP:0000047', 'HP:0000098', 'HP:0000256', 'HP:0000260', 'HP:0000269', 'HP:0000316', 'HP:0000340', 'HP:0000407', 'HP:0000776', 'HP:0000889', 'HP:0001162', 'HP:0001199', 'HP:0001305', 'HP:0007360', 'HP:0007370', 'HP:0010864']"
205,70,4,dermatoleukodystrophy,11,HP:0000007|HP:0000400|HP:0000448|HP:0001072|HP:0001176|HP:0001249|HP:0001833|HP:0001939|HP:0002415|HP:0005328|HP:0100678,dermatoleukodystrophy,6,HP:0000962|HP:0001072|HP:0001249|HP:0001315|HP:0001347|HP:0012639,HP:0001072|HP:0001249,4.446210683759239,4.759568640244445,"['HP:0000252', 'HP:0000286', 'HP:0000303', 'HP:0000347', 'HP:0000400', 'HP:0000448', 'HP:0001249', 'HP:0001510', 'HP:0002571', 'HP:0007477']"
425,496,9,pallister killian syndrome,133,HP:0000023|HP:0000028|HP:0000046|HP:0000047|HP:0000059|HP:0000066|HP:0000107|HP:0000110|HP:0000151|HP:0000154|HP:0000158|HP:0000175|HP:0000193|HP:0000219|HP:0000232|HP:0000256|HP:0000260|HP:0000270|HP:0000280|HP:0000286|HP:0000293|HP:0000316|HP:0000343|HP:0000347|HP:0000348|HP:0000358|HP:0000365|HP:0000369|HP:0000400|HP:0000402|HP:0000431|HP:0000463|HP:0000465|HP:0000470|HP:0000505|HP:0000506|HP:0000508|HP:0000518|HP:0000520|HP:0000545|HP:0000582|HP:0000629|HP:0000639|HP:0000653|HP:0000684|HP:0000776|HP:0000878|HP:0000954|HP:0000960|HP:0000966|HP:0000970|HP:0001010|HP:0001162|HP:0001169|HP:0001215|HP:0001250|HP:0001252|HP:0001263|HP:0001265|HP:0001276|HP:0001290|HP:0001344|HP:0001371|HP:0001374|HP:0001442|HP:0001510|HP:0001513|HP:0001537|HP:0001539|HP:0001545|HP:0001561|HP:0001596|HP:0001601|HP:0001612|HP:0001629|HP:0001631|HP:0001639|HP:0001643|HP:0001650|HP:0001680|HP:0001769|HP:0001773|HP:0001788|HP:0001830|HP:0001831|HP:0002007|HP:0002023|HP:0002025|HP:0002033|HP:0002079|HP:0002089|HP:0002119|HP:0002144|HP:0002187|HP:0002209|HP:0002342|HP:0002540|HP:0002558|HP:0002566|HP:0002751|HP:0002827|HP:0002883|HP:0003196|HP:0003577|HP:0003826|HP:0004209|HP:0004279|HP:0004482|HP:0004768|HP:0005026|HP:0005280|HP:0005484|HP:0005949|HP:0006297|HP:0007535|HP:0007572|HP:0008070|HP:0008905|HP:0008936|HP:0008947|HP:0009085|HP:0009803|HP:0010804|HP:0011220|HP:0011461|HP:0011968|HP:0012098|HP:0012673|HP:0032988|HP:0032989|HP:0040288|HP:0045075|HP:0200055,pallister killian syndrome,29,HP:0000215|HP:0000219|HP:0000232|HP:0000280|HP:0000316|HP:0000343|HP:0000463|HP:0000470|HP:0000486|HP:0000506|HP:0000508|HP:0000582|HP:0000684|HP:0000966|HP:0001252|HP:0001315|HP:0001382|HP:0002007|HP:0002023|HP:0002714|HP:0002750|HP:0003196|HP:0004322|HP:0004326|HP:0008070|HP:0010864|HP:0011220|HP:0045075|HP:0100736,HP:0002007|HP:0000463|HP:0000316|HP:0008070|HP:0000470|HP:0003196|HP:0000582|HP:0000966|HP:0000506|HP:0000684|HP:0000232|HP:0000343|HP:0001252|HP:0000280|HP:0002023|HP:0045075|HP:0000219|HP:0000508|HP:0011220,5.1258898212766795,4.371783675936675,"['HP:0000003', 'HP:0000023', 'HP:0000028', 'HP:0000126', 'HP:0000174', 'HP:0000243', 'HP:0000256', 'HP:0000286', 'HP:0000316', 'HP:0000319', 'HP:0000324', 'HP:0000343', 'HP:0000348', 'HP:0000358', 'HP:0000431', 'HP:0000463', 'HP:0000465', 'HP:0000470', 'HP:0000482', 'HP:0000486', 'HP:0000494', 'HP:0000508', 'HP:0000518', 'HP:0000612', 'HP:0000625', 'HP:0000656', 'HP:0000921', 'HP:0000964', 'HP:0001161', 'HP:0001249', 'HP:0001250', 'HP:0001263', 'HP:0001274', 'HP:0001302', 'HP:0001510', 'HP:0001511', 'HP:0001522', 'HP:0001622', 'HP:0001629', 'HP:0001650', 'HP:0001680', 'HP:0001734', 'HP:0001763', 'HP:0001770', 'HP:0001831', 'HP:0001847', 'HP:0001863', 'HP:0001873', 'HP:0001883', 'HP:0002007', 'HP:0002019', 'HP:0002021', 'HP:0002059', 'HP:0002119', 'HP:0002205', 'HP:0002247', 'HP:0002414', 'HP:0002566', 'HP:0002650', 'HP:0002827', 'HP:0003196', 'HP:0003312', 'HP:0004322', 'HP:0004378', 'HP:0004383', 'HP:0004397', 'HP:0005528', 'HP:0006101', 'HP:0007018', 'HP:0007302', 'HP:0008872', 'HP:0009906', 'HP:0010059', 'HP:0010761', 'HP:0100753', 'HP:0100840']"
69,321,6,huntington disease,14,HP:0000006|HP:0000496|HP:0000716|HP:0000726|HP:0000751|HP:0001250|HP:0001272|HP:0001347|HP:0002063|HP:0002066|HP:0002067|HP:0002072|HP:0002171|HP:0002529,huntington disease,52,HP:0000496|HP:0000713|HP:0000716|HP:0000718|HP:0000722|HP:0000734|HP:0000737|HP:0000738|HP:0000739|HP:0000741|HP:0000746|HP:0001250|HP:0001262|HP:0001268|HP:0001288|HP:0001332|HP:0001336|HP:0001347|HP:0001824|HP:0002059|HP:0002063|HP:0002067|HP:0002072|HP:0002141|HP:0002169|HP:0002300|HP:0002312|HP:0002340|HP:0002354|HP:0002375|HP:0002500|HP:0002540|HP:0002591|HP:0003107|HP:0003324|HP:0003487|HP:0004305|HP:0004408|HP:0007010|HP:0009088|HP:0010794|HP:0025401|HP:0030842|HP:0030955|HP:0031473|HP:0031589|HP:0031843|HP:0031845|HP:0040140|HP:0045082|HP:0100785|HP:0200136,HP:0001347|HP:0002072|HP:0000496|HP:0001250|HP:0002063|HP:0000716|HP:0002067,5.237934449415958,4.467963159027811,"['HP:0000600', 'HP:0000602', 'HP:0000639', 'HP:0000648', 'HP:0000708', 'HP:0000726', 'HP:0001250', 'HP:0001251', 'HP:0001260', 'HP:0001276', 'HP:0001347', 'HP:0002167', 'HP:0002353', 'HP:0002650', 'HP:0003298', 'HP:0003312', 'HP:0003457', 'HP:0100022']"
243,464,10,l 2 hydroxyglutaric aciduria,23,HP:0000007|HP:0000365|HP:0000486|HP:0000639|HP:0000648|HP:0001249|HP:0001250|HP:0001251|HP:0001272|HP:0001285|HP:0002062|HP:0002071|HP:0002171|HP:0002283|HP:0002352|HP:0002376|HP:0002381|HP:0003593|HP:0007256|HP:0007258|HP:0007371|HP:0040144|HP:0040147,l 2 hydroxyglutaric aciduria,12,HP:0000256|HP:0000708|HP:0001249|HP:0001250|HP:0001252|HP:0001285|HP:0002071|HP:0002381|HP:0002383|HP:0004375|HP:0007360|HP:0010864,HP:0001249|HP:0001285|HP:0001250|HP:0002071|HP:0002381,4.987412121947233,4.869021896604153,"['HP:0000486', 'HP:0000648', 'HP:0000712', 'HP:0001251', 'HP:0001256', 'HP:0001263', 'HP:0001270', 'HP:0001639', 'HP:0001642', 'HP:0002069', 'HP:0002273', 'HP:0002360', 'HP:0002371', 'HP:0002465', 'HP:0007875', 'HP:0008610', 'HP:0008947', 'HP:0010522', 'HP:0010896', 'HP:0010897', 'HP:0011727', 'HP:0100022']"
45,453,138,elastosis perforans serpiginosa,2,HP:0000006|HP:0003764,elastosis perforans serpiginosa,11,HP:0000271|HP:0000464|HP:0000973|HP:0007473|HP:0025092|HP:0025512|HP:0025527|HP:0025528|HP:0030350|HP:0045059|HP:0200035,,6.32905459370138,6.530712912261587,"['HP:0001644', 'HP:0001706', 'HP:0001874', 'HP:0008322']"
511,368,39,acute promyelocytic leukemia,3,HP:0001442|HP:0004836|HP:0012135,acute promyelocytic leukemia,36,HP:0000212|HP:0000225|HP:0000421|HP:0000790|HP:0000967|HP:0000978|HP:0000979|HP:0001324|HP:0001824|HP:0001873|HP:0001875|HP:0001876|HP:0001882|HP:0001892|HP:0001903|HP:0001945|HP:0001974|HP:0002027|HP:0002039|HP:0002321|HP:0002653|HP:0002716|HP:0002875|HP:0005521|HP:0010280|HP:0011900|HP:0012378|HP:0025420|HP:0030140|HP:0030955|HP:0031020|HP:0031035|HP:0031245|HP:0031364|HP:0100608|HP:0100758,,7.744614659323235,6.792411463978417,"['HP:0001250', 'HP:0002019']"
493,77,7,mednik syndrome,24,HP:0000007|HP:0000348|HP:0000407|HP:0000518|HP:0000582|HP:0001249|HP:0001252|HP:0001263|HP:0001394|HP:0001395|HP:0001396|HP:0001510|HP:0001522|HP:0002014|HP:0002580|HP:0003577|HP:0003811|HP:0003819|HP:0004388|HP:0005235|HP:0008064|HP:0009830|HP:0010783|HP:0033643,mednik syndrome,8,HP:0000962|HP:0001249|HP:0001406|HP:0002242|HP:0008064|HP:0009830|HP:0010837|HP:0011967,HP:0001249|HP:0009830|HP:0008064,5.4680150892938055,5.455332882356591,"['HP:0000488', 'HP:0000512', 'HP:0000532', 'HP:0000533', 'HP:0000545', 'HP:0000572', 'HP:0000577', 'HP:0000613', 'HP:0000662', 'HP:0001249', 'HP:0001250', 'HP:0001252', 'HP:0001263', 'HP:0001290', 'HP:0001508', 'HP:0001639', 'HP:0001939', 'HP:0001943', 'HP:0001985', 'HP:0002240', 'HP:0002611', 'HP:0007703', 'HP:0009830', 'HP:0011968', 'HP:0030856']"
356,489,101,"x linked intellectual disability, abidi type",1,HP:0001249,"x linked intellectual disability, abidi type",12,HP:0000175|HP:0000252|HP:0000340|HP:0000365|HP:0000411|HP:0000426|HP:0000767|HP:0001249|HP:0002650|HP:0004322|HP:0008734|HP:0100335,HP:0001249,7.358117300928262,5.299916040844712,"['HP:0000962', 'HP:0001072', 'HP:0001249', 'HP:0001315', 'HP:0001347', 'HP:0012639']"
532,40,5,"palmoplantar keratoderma, nagashima type",12,HP:0000007|HP:0000972|HP:0003577|HP:0003593|HP:0003621|HP:0003623|HP:0007410|HP:0011463|HP:0025080|HP:0025092|HP:0025114|HP:0032007,"palmoplantar keratoderma, nagashima type",2,HP:0000975|HP:0000982,,6.797564788501256,5.92843446714944,"['HP:0000956', 'HP:0000962', 'HP:0000969', 'HP:0000982', 'HP:0000989', 'HP:0001036', 'HP:0001903', 'HP:0002664', 'HP:0008066', 'HP:0008404', 'HP:0011367', 'HP:0012034', 'HP:0030078', 'HP:0040189', 'HP:0100816']"
371,73,160,bazex syndrome,21,HP:0000221|HP:0000418|HP:0000430|HP:0000953|HP:0000964|HP:0000966|HP:0001047|HP:0001056|HP:0001382|HP:0001423|HP:0002208|HP:0002671|HP:0003593|HP:0003764|HP:0003777|HP:0008070|HP:0009765|HP:0009886|HP:0025367|HP:0032152|HP:0040154,bazex syndrome,15,HP:0000956|HP:0000962|HP:0000969|HP:0000982|HP:0000989|HP:0001036|HP:0001903|HP:0002664|HP:0008066|HP:0008404|HP:0011367|HP:0012034|HP:0030078|HP:0040189|HP:0100816,,6.625623832839734,5.846767434033248,"['HP:0000271', 'HP:0000365', 'HP:0000372', 'HP:0000464', 'HP:0000505', 'HP:0001892', 'HP:0001965', 'HP:0002671', 'HP:0007606', 'HP:0010287', 'HP:0010288', 'HP:0010628', 'HP:0010732', 'HP:0012842', 'HP:0025367', 'HP:0025512', 'HP:0031024', 'HP:0100684', 'HP:0200036', 'HP:0200042']"
79,212,148,laryngeal abductor paralysis,11,HP:0000006|HP:0000252|HP:0000961|HP:0001249|HP:0001605|HP:0001609|HP:0001621|HP:0001762|HP:0002015|HP:0003593|HP:0010307,laryngeal abductor paralysis,2,HP:0001601|HP:0002093,,7.43314730356431,5.617893947230048,"['HP:0000377', 'HP:0000787', 'HP:0001249', 'HP:0001250', 'HP:0001337', 'HP:0001762', 'HP:0003153', 'HP:0003286']"
